id_venda;data;hora;id_loja;id_cliente;id_produto;dia_da_semana
107;02/10/2021;19:00;1;33;4;sábado
108;02/10/2021;19:00;1;33;38;sábado
109;02/10/2021;19:00;1;33;12;sábado
110;04/10/2021;19:00;1;33;64;segunda-feira
111;04/10/2021;19:00;1;33;5;segunda-feira
112;04/10/2021;19:00;1;33;26;segunda-feira
113;04/10/2021;19:00;2;35;35;segunda-feira
114;04/10/2021;19:00;2;35;34;segunda-feira
115;04/10/2021;19:00;2;35;30;segunda-feira
116;04/10/2021;19:00;2;35;25;segunda-feira
117;04/10/2021;19:00;4;36;33;segunda-feira
118;04/10/2021;19:00;4;36;29;segunda-feira
119;04/10/2021;19:00;4;36;2;segunda-feira
120;05/10/2021;19:00;4;36;10;terça-feira
121;05/10/2021;19:00;1;38;27;terça-feira
122;05/10/2021;19:00;1;38;5;terça-feira
123;05/10/2021;19:00;1;38;27;terça-feira
124;05/10/2021;19:00;2;39;36;terça-feira
125;06/10/2021;14:00;3;40;11;quarta-feira
126;06/10/2021;15:00;4;41;42;quarta-feira
127;06/10/2021;16:00;1;42;26;quarta-feira
128;06/10/2021;17:00;2;43;25;quarta-feira
129;06/10/2021;18:00;3;23;17;quarta-feira
130;06/10/2021;19:00;1;45;33;quarta-feira
131;07/10/2021;14:00;2;46;42;quinta-feira
132;07/10/2021;15:00;3;24;1;quinta-feira
133;07/10/2021;16:00;4;47;2;quinta-feira
134;07/10/2021;17:00;3;48;3;quinta-feira
135;07/10/2021;18:00;4;24;5;quinta-feira
136;07/10/2021;19:00;1;20;8;quinta-feira
137;07/10/2021;19:00;2;19;9;quinta-feira
138;07/10/2021;19:00;3;24;10;quinta-feira
139;07/10/2021;19:00;1;45;11;quinta-feira
140;07/10/2021;19:00;2;46;12;quinta-feira
141;08/10/2021;14:00;3;19;1;sexta-feira
142;08/10/2021;14:00;1;2;39;sexta-feira
143;08/10/2021;14:00;1;2;13;sexta-feira
144;08/10/2021;14:00;1;2;64;sexta-feira
145;08/10/2021;14:00;1;2;10;sexta-feira
146;08/10/2021;14:00;1;2;5;sexta-feira
147;08/10/2021;14:00;1;2;14;sexta-feira
148;08/10/2021;14:00;1;2;24;sexta-feira
149;08/10/2021;14:00;2;5;2;sexta-feira
150;08/10/2021;14:00;2;5;37;sexta-feira
151;08/10/2021;14:00;2;5;20;sexta-feira
152;08/10/2021;14:00;2;5;14;sexta-feira
153;08/10/2021;14:00;2;5;32;sexta-feira
154;08/10/2021;14:00;1;8;26;sexta-feira
155;08/10/2021;14:00;2;9;21;sexta-feira
156;08/10/2021;14:00;3;10;18;sexta-feira
157;08/10/2021;14:00;1;17;12;sexta-feira
158;08/10/2021;14:00;2;20;5;sexta-feira
159;08/10/2021;14:00;3;19;26;sexta-feira
160;08/10/2021;15:00;1;22;10;sexta-feira
161;08/10/2021;15:00;1;22;66;sexta-feira
162;08/10/2021;15:00;1;22;13;sexta-feira
163;08/10/2021;15:00;1;22;19;sexta-feira
164;08/10/2021;16:00;3;25;13;sexta-feira
165;08/10/2021;17:00;4;26;16;sexta-feira
166;08/10/2021;18:00;2;27;5;sexta-feira
167;08/10/2021;19:00;1;28;23;sexta-feira
168;08/10/2021;19:00;1;28;14;sexta-feira
169;08/10/2021;19:00;1;28;9;sexta-feira
170;08/10/2021;19:00;1;28;42;sexta-feira
171;08/10/2021;19:00;4;29;38;sexta-feira
172;08/10/2021;19:00;1;30;31;sexta-feira
173;08/10/2021;19:00;1;30;5;sexta-feira
174;08/10/2021;19:00;1;30;5;sexta-feira
175;08/10/2021;19:00;2;31;6;sexta-feira
176;08/10/2021;19:00;1;32;64;sexta-feira
177;08/10/2021;19:00;1;40;26;sexta-feira
178;08/10/2021;19:00;1;40;15;sexta-feira
179;08/10/2021;19:00;1;40;29;sexta-feira
180;08/10/2021;19:00;1;40;39;sexta-feira
181;08/10/2021;19:00;1;40;37;sexta-feira
182;08/10/2021;19:00;1;41;40;sexta-feira
183;08/10/2021;19:00;1;41;18;sexta-feira
184;08/10/2021;19:00;1;41;66;sexta-feira
185;08/10/2021;19:00;1;41;35;sexta-feira
186;08/10/2021;19:00;1;41;5;sexta-feira
187;08/10/2021;19:00;2;42;18;sexta-feira
188;08/10/2021;19:00;4;43;69;sexta-feira
189;08/10/2021;19:00;1;44;2;sexta-feira
190;08/10/2021;19:00;2;45;5;sexta-feira
191;08/10/2021;19:00;4;46;30;sexta-feira
192;08/10/2021;19:00;1;47;2;sexta-feira
193;08/10/2021;19:00;1;47;27;sexta-feira
194;08/10/2021;19:00;1;47;30;sexta-feira
195;08/10/2021;19:00;1;47;26;sexta-feira
196;08/10/2021;19:00;2;48;35;sexta-feira
197;08/10/2021;19:00;4;49;69;sexta-feira
198;08/10/2021;19:00;1;50;25;sexta-feira
199;08/10/2021;19:00;2;51;12;sexta-feira
200;08/10/2021;20:00;4;52;5;sexta-feira
201;08/10/2021;20:00;1;53;5;sexta-feira
202;08/10/2021;20:00;1;53;5;sexta-feira
203;08/10/2021;20:00;1;53;33;sexta-feira
204;08/10/2021;20:00;2;5;23;sexta-feira
205;08/10/2021;20:00;2;5;12;sexta-feira
206;08/10/2021;21:00;2;5;25;sexta-feira
207;08/10/2021;21:00;2;5;69;sexta-feira
208;09/10/2021;14:00;2;5;11;sábado
209;09/10/2021;14:00;1;8;41;sábado
210;09/10/2021;14:00;2;9;64;sábado
211;09/10/2021;14:00;3;10;35;sábado
212;09/10/2021;14:00;1;17;5;sábado
213;09/10/2021;15:00;2;20;37;sábado
214;09/10/2021;15:00;3;19;37;sábado
215;09/10/2021;15:00;1;22;3;sábado
216;09/10/2021;15:00;1;22;1;sábado
217;09/10/2021;16:00;1;22;42;sábado
218;09/10/2021;17:00;1;22;6;sábado
219;09/10/2021;18:00;1;54;31;sábado
220;09/10/2021;19:00;1;54;26;sábado
221;09/10/2021;19:00;2;55;7;sábado
222;09/10/2021;19:00;4;56;14;sábado
223;09/10/2021;19:00;1;57;5;sábado
224;09/10/2021;19:00;1;57;66;sábado
225;09/10/2021;19:00;1;57;24;sábado
226;09/10/2021;19:00;1;33;5;sábado
227;09/10/2021;19:00;1;33;1;sábado
228;09/10/2021;19:00;1;33;32;sábado
229;09/10/2021;19:00;1;33;27;sábado
230;09/10/2021;19:00;2;34;1;sábado
231;09/10/2021;19:00;4;35;5;sábado
232;09/10/2021;19:00;1;36;23;sábado
233;09/10/2021;19:00;2;37;67;sábado
234;09/10/2021;19:00;4;38;36;sábado
235;09/10/2021;19:00;2;5;23;sábado
236;09/10/2021;19:00;2;5;68;sábado
237;09/10/2021;19:00;2;5;17;sábado
238;09/10/2021;19:00;2;5;27;sábado
239;09/10/2021;19:00;2;5;4;sábado
240;09/10/2021;19:00;1;8;18;sábado
241;09/10/2021;19:00;2;9;23;sábado
242;09/10/2021;19:00;3;10;67;sábado
243;09/10/2021;19:00;1;17;35;sábado
244;09/10/2021;19:00;2;20;64;sábado
245;09/10/2021;19:00;3;19;5;sábado
246;09/10/2021;19:00;1;22;5;sábado
247;09/10/2021;19:00;1;22;19;sábado
248;09/10/2021;19:00;1;22;23;sábado
249;09/10/2021;19:00;1;22;65;sábado
250;09/10/2021;19:00;2;25;9;sábado
251;09/10/2021;19:00;1;25;8;sábado
252;09/10/2021;19:00;3;25;67;sábado
253;09/10/2021;19:00;2;30;37;sábado
254;09/10/2021;19:00;4;46;33;sábado
255;09/10/2021;19:00;3;46;25;sábado
256;09/10/2021;19:00;2;46;24;sábado
257;09/10/2021;19:00;4;23;5;sábado
258;09/10/2021;19:00;4;23;68;sábado
259;09/10/2021;19:00;4;23;64;sábado
260;09/10/2021;19:00;3;33;3;sábado
261;09/10/2021;19:00;3;33;36;sábado
262;09/10/2021;19:00;4;33;22;sábado
263;09/10/2021;19:00;3;33;17;sábado
264;09/10/2021;19:00;1;4;8;sábado
265;09/10/2021;19:00;4;4;39;sábado
266;09/10/2021;19:00;1;4;65;sábado
267;09/10/2021;19:00;2;20;19;sábado
268;09/10/2021;19:00;1;21;12;sábado
269;09/10/2021;19:00;4;55;5;sábado
270;09/10/2021;19:00;2;43;27;sábado
271;09/10/2021;19:00;2;43;40;sábado
272;09/10/2021;19:00;2;43;5;sábado
273;09/10/2021;19:00;2;25;24;sábado
274;09/10/2021;19:00;2;24;2;sábado
275;10/10/2021;16:00;1;23;13;domingo
276;10/10/2021;16:00;2;23;30;domingo
277;10/10/2021;16:00;1;23;27;domingo
278;10/10/2021;16:00;3;40;1;domingo
279;10/10/2021;16:00;3;12;65;domingo
280;10/10/2021;16:00;1;16;5;domingo
281;10/10/2021;16:00;4;19;7;domingo
282;10/10/2021;16:00;3;47;64;domingo
283;10/10/2021;16:00;2;28;2;domingo
284;10/10/2021;16:00;1;55;68;domingo
285;10/10/2021;16:00;1;43;64;domingo
286;10/10/2021;16:00;4;7;11;domingo
287;10/10/2021;16:00;2;7;2;domingo
288;10/10/2021;16:00;4;7;5;domingo
289;10/10/2021;16:00;4;27;23;domingo
290;10/10/2021;17:00;2;30;5;domingo
291;10/10/2021;17:00;2;35;64;domingo
292;10/10/2021;17:00;3;48;2;domingo
293;10/10/2021;17:00;4;48;29;domingo
294;10/10/2021;17:00;1;5;39;domingo
295;10/10/2021;17:00;2;6;17;domingo
296;10/10/2021;17:00;2;9;12;domingo
297;10/10/2021;17:00;3;10;2;domingo
298;10/10/2021;17:00;3;36;2;domingo
299;10/10/2021;17:00;1;52;23;domingo
300;10/10/2021;17:00;1;51;34;domingo
